Player,,Weight_catlight_player,Weight_catmedium_player,Weight_catheavy_player
Vít Krejčí,88.45044,1,0,0
Vlatko Čančar,107.047712,0,0,1
Walker Kessler,111.13004,0,0,1
Wendell Carter Jr.,122.46984,0,0,1
Wendell Moore Jr.,97.52228,0,1,0
Xavier Tillman,111.13004,0,0,1
Yuki Kawamura,72.121128,1,0,0
Yuri Collins,86.18248,1,0,0
Yves Missi,106.59412,0,0,1
Zaccharie Risacher,90.7184,1,0,0
Zach Collins,113.398,0,0,1
Zach Edey,138.34556,0,0,1
Zach LaVine,90.7184,1,0,0
Zeke Nnaji,108.86208,0,0,1
Ziaire Williams,83.91452,1,0,0
Zion Williamson,128.820128,0,0,1
Zyon Pullin,93.439952,0,1,0
