"NAME" "TEAM" "POS" "AGE" "GP-Games_played" "MpG-Minutes_per_game" "USG%-usage_rate" "TO%-Turnovers_per_100_poss" "FTA" "FT%" "2PA" "2P%" "3PA" "3P%" "eFG%" "TS%-Shooting_efficiency" "PpG-Points" "RpG-Rebounds" "ApG-Assists" "SpG-Steals" "BpG-Blocks" "TOpG-Turnovers_per_game" "P+R-Points_rebounds" "P+A-Points_assists" "P+R+A-Points_rebounds_assists" "VI-player_versatility" "ORtg-points_produced" "DRtg-points_allowed" "RANK"
"Dyson Daniels" Atl G 22.1 76 33.8 18.2 14.4 140 0.593 688 0.545 235 0.34 0.536 0.545 14.1 5.9 4.4 3 0.7 2 20 18.5 24.4 8.5 109.7 110 120
"Tre Mann" Cha G 24.2 13 24.5 26 13.4 21 0.905 101 0.455 60 0.4 0.509 0.537 14.1 2.9 3 0.5 0.3 1.9 17 17.1 20 8.1 105.2 114.7 121
"Fred VanVleet" Hou G 31.1 60 35.2 17.6 10.3 136 0.816 298 0.43 461 0.345 0.483 0.515 14.1 3.7 5.6 1.6 0.4 1.5 17.8 19.6 23.3 7.5 116.4 108.5 122
"Tolu Smith" Det F 24.7 1 22.4 23.2 17.7 3 0.667 9 0.667 0 0 0.667 0.678 14 8 0 0 0 2 22 14 22 0 119.2 103.6 123
"Dillon Brooks" Hou G-F 29.2 75 31.8 17.7 7.8 122 0.811 426 0.465 469 0.397 0.533 0.555 14 3.7 1.7 0.8 0.2 1 17.7 15.7 19.4 5.6 116.6 106 124
"Klay Thompson" Dal G 35.2 72 27.3 21.8 9.1 74 0.905 324 0.448 553 0.391 0.535 0.552 14 3.4 2 0.7 0.4 1.2 17.4 16 19.4 6.7 108.4 116.8 125
"Tobias Harris" Det F 32.7 73 31.6 17.6 9.5 166 0.861 541 0.542 264 0.345 0.534 0.571 13.7 5.9 2.2 1 0.8 1.2 19.6 15.9 21.9 7.1 115.5 110.5 126
"Josh Hart" Nyk G 30.1 77 37.6 15.3 17 205 0.776 518 0.618 252 0.333 0.579 0.611 13.6 9.6 5.9 1.5 0.4 2.1 23.2 19.5 29.1 9.8 124.8 107.9 127
"Bobby Portis" Mil F 30.2 50 24.9 24.1 8.7 73 0.836 417 0.508 178 0.365 0.52 0.542 13.6 8.2 2.1 0.7 0.5 1.1 21.8 15.7 23.9 9.9 110.9 105.1 128
"Jarrett Allen" Cle C 27 82 28 15.9 13.2 277 0.718 635 0.712 5 0 0.706 0.724 13.5 9.7 1.9 0.9 0.9 1.2 23.2 15.4 25.1 9 141.1 106.5 129
