"NAME" "TEAM" "POS" "AGE" "GP-Games_played" "MpG-Minutes_per_game" "USG%-usage_rate" "TO%-Turnovers_per_100_poss" "FTA" "FT%" "2PA" "2P%" "3PA" "3P%" "eFG%" "TS%-Shooting_efficiency" "PpG-Points" "RpG-Rebounds" "ApG-Assists" "SpG-Steals" "BpG-Blocks" "TOpG-Turnovers_per_game" "P+R-Points_rebounds" "P+A-Points_assists" "P+R+A-Points_rebounds_assists" "VI-player_versatility" "ORtg-points_produced" "DRtg-points_allowed" "RANK"
"Olivier-Maxence Prosper" Dal F 22.8 52 11.2 16.3 7.4 76 0.645 123 0.472 51 0.235 0.437 0.484 3.9 2.4 0.8 0.5 0.1 0.3 6.3 4.6 7.1 7 111.4 113.9 479
"Steven Adams" Hou C 31.7 58 13.7 13.5 24.4 93 0.462 165 0.552 2 0 0.545 0.541 3.9 5.6 1.1 0.4 0.5 0.9 9.5 5 10.7 8.4 114.8 105.1 481
"Kyle Lowry" Phi G 39.1 35 18.8 10.1 15.2 33 0.818 29 0.414 88 0.33 0.474 0.525 3.9 1.9 2.7 0.9 0.3 0.6 5.9 6.7 8.6 5.8 118.7 112.5 482
"Branden Carlson" Okc C 25.8 32 7.7 19.3 6.7 18 0.778 31 0.677 66 0.333 0.557 0.581 3.8 1.7 0.4 0.2 0.7 0.2 5.5 4.3 5.9 7.1 121.5 103.6 484
"Devin Carter" Sac G 23.1 36 11 17.9 12.4 44 0.591 66 0.439 61 0.295 0.441 0.471 3.8 2.1 1.1 0.6 0.1 0.5 5.9 5 7.1 7.5 103.3 107.6 485
"Ousmane Dieng" Okc F 21.9 37 10.9 15.7 12.6 16 0.688 54 0.574 71 0.324 0.524 0.538 3.8 2.2 0.8 0.5 0.2 0.5 6 4.7 6.9 6.9 109 103.2 486
"Jackson Rowe" Gol F 28.3 6 8.6 16.8 5.5 6 0.5 7 0.714 10 0.3 0.559 0.56 3.7 1.8 0.7 0.7 0 0.2 5.5 4.3 6.2 7.8 120.6 104.6 489
"Craig Porter" Cle G 25.1 51 10.1 15.9 21.3 32 0.719 92 0.554 48 0.438 0.589 0.61 3.7 1.3 1.4 0.3 0.3 0.7 5 5.1 6.4 7.5 115.2 112.3 490
"Emoni Bates" Cle F 21.2 10 7.5 22.7 5 0 0 8 0.25 30 0.367 0.487 0.487 3.7 0.7 0.8 0.1 0.1 0.2 4.4 4.5 5.2 6.8 104.8 113 491
"Blake Wesley" San G 22.1 58 11.8 16.6 22.5 61 0.623 128 0.5 58 0.293 0.481 0.51 3.7 1.1 2 0.6 0.1 0.9 4.8 5.7 6.8 6.8 101.7 115 492
"DeAndre Jordan" Den C 36.7 56 12.3 12.8 22.2 64 0.422 140 0.65 0 0 0.65 0.621 3.7 5.1 0.9 0.3 0.5 0.7 8.8 4.7 9.8 8.4 120.6 103.9 493
"Jaylon Tyson" Cle G-F 22.4 47 9.6 17.4 14.8 24 0.792 91 0.484 58 0.345 0.497 0.523 3.6 2 0.9 0.3 0.1 0.6 5.6 4.5 6.5 7.8 110.9 104.7 494
"Baylor Scheierman" Bos G 24.5 31 12.4 14.5 9.8 12 0.75 28 0.464 82 0.317 0.473 0.49 3.6 2.1 1.1 0.5 0.1 0.4 5.7 4.7 6.8 6.5 110.7 108.3 495
"Jae'Sean Tate" Hou F 29.5 52 11.3 13.3 12.9 47 0.681 102 0.529 46 0.348 0.527 0.557 3.6 2.3 0.9 0.5 0.1 0.4 5.9 4.5 6.8 6.9 120.5 99.8 496
"Luka Garza" Min C 26.3 39 5.6 26.2 10.2 35 0.686 69 0.609 36 0.278 0.543 0.573 3.5 1.4 0.3 0.2 0.1 0.3 4.9 3.8 5.2 8.1 117.6 102 498
"Dario Saric" Den F-C 31 16 13.2 15.6 20.5 10 0.7 32 0.438 26 0.269 0.422 0.449 3.5 3.1 1.4 0.4 0.1 0.9 6.6 4.9 8.1 7.5 96.1 108.9 499
"Doug McDermott" Sac F 33.3 42 8.1 15.8 4.9 5 0.6 16 0.375 101 0.436 0.615 0.617 3.5 0.5 0.2 0.1 0 0.1 4 3.7 4.2 3.5 118.5 114 500
"Cory Joseph" Orl G 33.7 50 12.2 12.8 10.4 18 0.778 47 0.489 107 0.364 0.529 0.547 3.5 1.5 1.4 0.5 0.1 0.4 5 5 6.5 6.4 118.3 105.9 501
"Jamaree Bouyea" Mil G 25.8 5 12.3 16.1 39.4 6 0.667 7 0.714 5 0.2 0.542 0.581 3.4 1 2 0.8 0.4 1.6 4.4 5.4 6.4 6.2 93.5 113.3 502
"Isaac Jones" Sac F 24.8 40 7.6 16.3 16.1 36 0.639 75 0.68 8 0.375 0.669 0.678 3.4 1.4 0.3 0.1 0.3 0.4 4.8 3.7 5.1 5.9 124 110.7 503
"Andre Jackson Jr." Mil G 23.4 67 14.6 11.9 22.7 24 0.5 121 0.529 76 0.395 0.553 0.554 3.4 2.7 1.2 0.5 0.2 0.9 6.1 4.7 7.4 6.1 107.9 104.4 504
"Bruno Fernando" Tor F-C 26.7 17 8.6 19 22.1 8 0.75 49 0.531 0 0 0.531 0.552 3.4 3 1.1 0.2 0.5 0.8 6.4 4.5 7.5 10.4 107.1 96.8 506
"Nate Williams" Hou G 26.2 20 7.3 22.3 18.4 8 0.625 36 0.583 26 0.231 0.484 0.496 3.3 0.7 0.5 0.4 0.2 0.7 3.9 3.7 4.4 5.7 91.7 104.2 509
"Kevin Knox II" Gol F 25.7 14 6 21.9 9.9 8 0.75 21 0.667 15 0.267 0.556 0.582 3.3 1.2 0.4 0.1 0.3 0.3 4.5 3.6 4.9 7.8 115.5 109.4 510
"Damion Lee" Pho G-F 32.5 25 5.8 28.6 11.8 21 0.952 37 0.486 37 0.243 0.426 0.499 3.3 0.8 0.4 0.2 0 0.4 4.1 3.8 4.6 7 98.4 118.6 511
"Elijah Harkless" Uta G 25.2 10 13.8 12.3 7.8 6 0.5 10 0.4 25 0.28 0.414 0.425 3.2 2.1 0.8 1 0.1 0.3 5.3 4 6.1 5.1 102.1 108.9 512
"Zeke Nnaji" Den F-C 24.3 57 10.7 12.2 9 44 0.614 89 0.596 52 0.327 0.557 0.574 3.2 1.6 0.4 0.4 0.7 0.2 4.8 3.6 5.2 4.7 119.2 109.4 514
"Cam Reddish" Lal F-G 25.6 33 17.9 8.7 11.3 26 0.615 47 0.532 47 0.277 0.473 0.498 3.2 2 0.7 1 0.3 0.4 5.2 3.9 5.9 3.7 106.4 110.4 516
"P.J. Tucker" Nyk F 39.9 3 19.3 6 12.5 0 0 1 0 6 0.5 0.643 0.643 3 2.7 0 0.3 0.3 0.3 5.7 3 5.7 0 128.3 105.6 520
"Rayan Rupert" Por G-F 20.9 52 8.8 16.8 17.4 30 0.767 83 0.506 59 0.271 0.465 0.499 3 1.3 0.5 0.3 0.1 0.6 4.3 3.5 4.8 5.7 98.2 111.7 521
"Taze Moore" Por G 26.8 2 10 26.9 16.4 2 0.5 6 0.167 4 0.25 0.25 0.276 3 4 0.5 1 0 1 7 3.5 7.5 7.3 72.1 113.5 522
"Maxi Kleber" Dal F 33.2 34 18.7 8.7 19.3 21 0.762 47 0.511 49 0.265 0.453 0.489 3 2.8 1.3 0.3 0.5 0.7 5.8 4.3 7.1 4.7 104.1 110.4 524
"Gary Harris" Orl G 30.6 48 14.8 9.5 11.3 12 0.583 32 0.469 101 0.356 0.519 0.524 3 1.3 0.6 0.5 0.3 0.4 4.4 3.6 5 3.6 107.1 109.2 525
"Tyler Smith" Mil F 20.4 23 5.3 22.2 13.7 8 0.75 20 0.55 30 0.433 0.61 0.626 2.9 1.1 0.2 0.1 0.2 0.3 4 3.1 4.2 6.5 110.1 106.7 527
"Markelle Fultz" Sac G 26.9 21 8.8 19.3 18.2 1 1 59 0.407 8 0.5 0.448 0.452 2.9 1 1.3 0.5 0.1 0.7 3.9 4.2 5.1 7.1 92.7 113.2 528
"Taj Gibson" Cha F 39.8 37 11.1 13.4 20.8 20 0.6 93 0.495 2 0.5 0.5 0.515 2.9 3.2 0.6 0.2 0.5 0.7 6.1 3.5 6.7 6.4 103.4 105.2 530
"RayJ Dennis" Ind G 24 11 6.4 23.9 13 2 1 12 0.417 21 0.286 0.424 0.443 2.7 1.1 1.3 0.6 0.2 0.5 3.8 4 5.1 9.8 96.9 103.9 531
"Keshad Johnson" Mia F 23.8 16 6.1 15.4 13.2 9 0.444 19 0.789 7 0.429 0.75 0.718 2.7 1.8 0.3 0.3 0.3 0.3 4.4 2.9 4.7 7.4 128.4 100.3 532
"David Duke Jr." San G 25.5 6 5.6 21.4 12.3 2 0.5 8 0.375 6 0.5 0.536 0.538 2.7 0.8 0.7 0.2 0 0.3 3.5 3.3 4.2 8.2 105.7 118.7 534
"Hunter Tyson" Den F 24.8 51 7.8 15.5 10.4 28 0.75 46 0.478 74 0.311 0.471 0.506 2.6 1.5 0.4 0.2 0.1 0.3 4.2 3 4.5 5.9 108.3 108.4 538
"Josh Minott" Min F 22.4 46 6 17.1 10.8 19 0.895 47 0.638 43 0.326 0.567 0.605 2.6 1 0.4 0.3 0.3 0.2 3.6 3 4 6.8 120.3 100.7 539
"Jae Crowder" Sac F 34.8 9 11.4 12 15.2 6 0.833 7 0.429 15 0.267 0.409 0.467 2.6 2.2 0.7 0.3 0 0.4 4.8 3.2 5.4 5.6 103.1 109.5 540
"Dillon Jones" Okc F 23.5 54 10.2 13.3 17.4 28 0.607 70 0.5 63 0.254 0.444 0.464 2.5 2.2 1.1 0.3 0.1 0.5 4.7 3.6 5.8 7.1 102.4 101.8 544
"Pat Spencer" Gol G 28.8 39 6.4 21.2 15.1 15 0.733 79 0.456 22 0.227 0.431 0.455 2.5 1.2 1.2 0.4 0.1 0.5 3.7 3.7 4.9 9.6 102.5 106.5 545
"Anthony Gill" Was F 32.5 51 7.8 12.7 10.2 50 0.66 57 0.579 31 0.323 0.545 0.586 2.5 1.3 0.3 0.2 0 0.2 3.8 2.8 4.1 5.1 119.2 116.7 546
"Christian Koloko" Lal C 24.8 37 9.2 10.8 15.3 14 0.714 62 0.645 4 0 0.606 0.624 2.4 2.5 0.4 0.2 0.4 0.3 4.9 2.9 5.4 5.8 127.9 103.3 550
"Johnny Davis" Was G 23.1 34 7.1 15.9 8.2 15 0.6 49 0.51 29 0.241 0.455 0.473 2.4 1.1 0.3 0.4 0.2 0.2 3.5 2.7 3.8 5.2 98.6 114.8 551
"John Konchar" Mem G 29.1 46 12.1 8 14.9 8 0.875 29 0.621 62 0.371 0.577 0.592 2.4 3.3 0.9 0.7 0.3 0.3 5.7 3.3 6.6 6.4 126.6 108.7 553
"Miles Norris" Bos F 25 3 11.6 12.4 0 2 0.5 2 0 7 0.286 0.333 0.354 2.3 3 0 0.7 0.3 0 5.3 2.3 5.3 0 90.5 111.4 554
"Bronny James" Lal G 20.5 27 6.7 20.9 16.2 14 0.786 35 0.343 32 0.281 0.381 0.424 2.3 0.7 0.8 0.3 0.1 0.5 3 3.1 3.8 6.5 89.4 111 555
"Mason Jones" Sac G 26.7 10 4.5 20.1 5.2 5 0.8 10 0.8 8 0.125 0.528 0.569 2.3 0.9 1.1 0 0.1 0.1 3.2 3.4 4.3 11.7 134.1 114.4 557
"Drew Peterson" Bos F 25.4 25 7.4 12.5 16.2 9 0.778 8 0.5 33 0.394 0.573 0.601 2.2 1.6 0.5 0.2 0.1 0.3 3.8 2.7 4.3 6.5 119.2 103.4 558
"TyTy Washington Jr." Pho G 23.4 16 7.4 18.9 6.2 6 0.5 24 0.417 21 0.19 0.356 0.367 2.2 0.8 1 0.2 0 0.2 3 3.2 4 6.5 92.4 121.8 559
"Enrique Freeman" Ind F 24.7 22 8.2 12.3 13.9 19 0.684 27 0.556 10 0.1 0.446 0.507 2.1 1.4 0.4 0.1 0.1 0.3 3.5 2.5 3.9 5.1 109.3 108 562
"Johnny Furphy" Ind G 20.3 50 7.6 12.9 11.5 22 0.818 42 0.476 50 0.3 0.462 0.506 2.1 1.4 0.4 0.4 0.2 0.2 3.5 2.4 3.9 5.6 108.7 106.4 563
"JD Davison" Bos G 22.5 16 5.8 23.6 27.5 7 0.714 16 0.5 18 0.222 0.412 0.445 2.1 0.8 0.8 0.3 0.1 0.8 2.9 2.9 3.7 7.6 82.2 111.8 565
"Chris Duarte" Chi G 27.8 17 4.4 17.1 3.7 8 0.75 11 0.545 15 0.4 0.577 0.61 2.1 1.2 0.5 0 0 0.1 3.3 2.6 3.8 9.8 135.6 110.2 568
"Dwight Powell" Dal F-C 33.7 55 10 7.6 22.7 43 0.651 56 0.714 5 0.4 0.705 0.713 2.1 2.1 1 0.3 0.4 0.3 4.2 3.1 5.2 6.6 144.4 105.2 569
"Tyler Kolek" Nyk G 24 41 7.2 15.8 17.9 17 0.765 35 0.371 47 0.298 0.415 0.453 2 0.7 1.7 0.3 0.1 0.4 2.6 3.7 4.3 7.4 108.5 110 571
"Adama Sanogo" Chi F 23.2 4 5.4 15.6 12.5 0 0 7 0.571 0 0 0.571 0.571 2 1.5 0.3 0 0 0.3 3.5 2.3 3.8 7.2 126.4 119.7 573
"Josh Christopher" Mia G 23.3 14 5 25.4 16.1 6 0.667 20 0.45 11 0.182 0.387 0.416 2 0.6 0.6 0.4 0.2 0.4 2.6 2.6 3.2 7.2 81.6 111.3 576
"Bobi Klintman" Det F 22.1 8 5.3 11.8 8.9 2 0.5 5 0.8 5 0.4 0.7 0.689 1.9 0.9 0.9 0.3 0.1 0.1 2.8 2.8 3.6 8.7 144.8 95.6 577
"Kobe Brown" Lac F 25.3 40 6.8 14 14.2 7 0.714 46 0.587 26 0.231 0.5 0.513 1.9 1.6 0.6 0.2 0.1 0.3 3.6 2.5 4.2 7.2 109.8 105 578
"Ariel Hukporti" Nyk C 23 25 8.7 11.5 40.2 13 0.462 31 0.677 0 0 0.677 0.654 1.9 2 0.4 0 0.6 0.8 4 2.4 4.4 5.3 94.6 102 579
"Garrett Temple" Tor G-F 38.9 28 8.1 13.9 14.2 12 0.917 32 0.375 28 0.214 0.35 0.406 1.9 1 1.1 0.6 0.1 0.4 2.9 3 4 6.3 98 107.3 581
"Jahmir Young" Chi G 24.5 6 5 9.7 15.5 2 1 3 1 2 0.5 0.9 0.935 1.8 0.5 1 0 0 0.2 2.3 2.8 3.3 7.7 175.4 116.9 582
"Trentyn Flowers" Lac F 20.1 6 4.5 21.8 8 3 1 9 0.444 2 0 0.364 0.446 1.8 0.7 0 0 0 0.2 2.5 1.8 2.5 0 92.1 101 583
"Adam Flagler" Okc G 25.4 37 5.5 21.1 4 2 0.5 24 0.458 72 0.194 0.333 0.335 1.8 0.7 0.3 0.2 0.1 0.1 2.5 2.1 2.8 5.3 79.8 106.2 584
"E.J. Liddell" Chi F 24.3 12 4.4 14.1 11.5 2 1 5 1 10 0.3 0.633 0.661 1.8 0.8 0.3 0.1 0 0.2 2.5 2 2.8 6.9 125.9 99.2 585
"Vlatko Cancar" Den F 28 13 10.4 11.5 29.7 0 0 11 0.545 15 0.267 0.462 0.462 1.8 2.5 0.7 0.2 0.2 0.8 4.3 2.5 5 5.6 82.7 110.7 586
"Emanuel Miller" Chi F 24.8 6 4.1 15 0 2 1 7 0.571 1 0 0.5 0.563 1.7 1.3 0.3 0.2 0 0 3 2 3.3 8.5 141.2 105.9 587
"Alex Ducas" Okc G 24.3 21 6 11.8 11.6 2 1 9 0.222 21 0.476 0.567 0.583 1.7 1.2 0.2 0.2 0 0.2 3 2 3.2 4.9 119.6 102.5 588
"Pacome Dadiet" Nyk F 19.7 18 6.2 14.7 11.3 6 0.667 12 0.333 19 0.316 0.419 0.446 1.7 1 0.3 0.2 0.1 0.2 2.7 1.9 2.9 5.2 93.7 111.4 589
"PJ Hall" Den C 23.1 19 3.5 17.8 7.6 4 0.75 16 0.75 8 0.25 0.625 0.641 1.7 1.2 0.2 0 0.2 0.1 2.9 1.9 3.1 8.5 0 0 590
"Tristan Thompson" Cle C-F 34.1 40 8.2 12.7 16.5 30 0.233 68 0.456 3 0 0.437 0.41 1.7 3.4 0.6 0.1 0.3 0.4 5.1 2.3 5.7 7.4 99.3 100.3 593
"Phillip Wheeler" Phi F 23 5 8.9 22.4 4.5 2 1 11 0.273 10 0 0.143 0.183 1.6 1.6 0.4 0.2 0.4 0.2 3.2 2 3.6 4.5 51.5 120.4 594
"Yuki Kawamura" Mem G 24 22 4.2 17 14.1 9 0.778 7 0.571 23 0.304 0.483 0.53 1.6 0.5 0.9 0.1 0 0.2 2.2 2.5 3 8.5 116.8 109.8 595
"Armel Traore" Lal F 22.2 9 7.4 16.5 13.6 7 0.286 12 0.5 7 0 0.316 0.317 1.6 1.7 0.1 0.4 0.2 0.3 3.2 1.7 3.3 3.5 65.5 104.7 596
"Jordan Walsh" Bos G 21.1 52 7.8 11.5 17 12 0.583 28 0.536 55 0.273 0.452 0.464 1.6 1.3 0.4 0.2 0.2 0.3 2.9 1.9 3.3 4.8 98.9 107.3 597
"Jack McVeigh" Hou G-F 28.8 9 4.8 18.1 10.5 0 0 4 0.25 13 0.308 0.412 0.412 1.6 0.6 0.1 0 0.2 0.2 2.1 1.7 2.2 3.8 88 111.3 599
"Kevin McCullar Jr." Nyk G 24.1 4 7.3 11.7 0 2 1 6 0.333 1 0 0.286 0.381 1.5 2 0.5 0.3 0.3 0 3.5 2 4 6.3 97.9 90.5 600
"Quincy Olivari" Lal G 23.9 2 5.2 25.6 16.7 0 0 0 0 5 0.2 0.3 0.3 1.5 0 0.5 0 0 0.5 1.5 2 2 0 61.8 124.3 601
"Jazian Gortman" Dal G 22.1 16 3.5 22.6 17.7 4 0.5 12 0.417 11 0.364 0.478 0.485 1.5 0.3 0.4 0.1 0.1 0.3 1.8 1.9 2.2 6.5 0 0 602
"Leonard Miller" Min F 21.4 13 2.4 28.1 11.5 8 1 10 0.6 5 0 0.4 0.54 1.5 0.8 0 0.2 0.1 0.2 2.4 1.5 2.4 0 0 0 603
"Matt Ryan" Nyk F 28 19 3.6 22.4 8.7 2 1 12 0.333 19 0.316 0.419 0.439 1.5 0.4 0.2 0.1 0 0.2 1.9 1.6 2.1 5.5 0 0 604
"Cam Christie" Lac G 19.7 13 4.5 20.6 7.6 4 0.5 11 0.455 13 0.154 0.333 0.349 1.4 0.9 0.5 0.4 0.1 0.2 2.3 1.8 2.8 7.6 86.3 103.5 605
"Chris Livingston" Mil F 21.5 21 5 16.6 18 16 0.75 19 0.474 8 0 0.333 0.441 1.4 1.7 0.2 0.2 0 0.3 3.1 1.7 3.3 6.2 98 104.7 606
"Trey Alexander" Den G 22 23 5 17.5 10.8 4 0.75 24 0.417 17 0.176 0.354 0.374 1.4 0.5 0.5 0.1 0 0.2 1.9 1.9 2.4 5.6 83.7 112.5 607
"Skal Labissiere" Sac F-C 29.1 4 3 14.3 0 0 0 3 0.333 1 1 0.625 0.625 1.3 0.8 0.3 0 0 0 2 1.5 2.3 9 0 0 611
"Spencer Jones" Den F 23.8 20 6.2 13.7 12.7 3 1 17 0.588 17 0.059 0.338 0.368 1.3 0.9 0.3 0.3 0.3 0.3 2.2 1.6 2.4 4.6 85.9 106.4 612
"Jalen Bridges" Pho F 23.9 8 3.8 18.5 35.3 4 0.75 0 0 7 0.286 0.429 0.514 1.1 0.5 0 0 0 0.5 1.6 1.1 1.6 0 0 0 614
"Braxton Key" Gol F 28.2 3 3.6 29.8 19.2 6 0.5 3 0 1 0 0 0.226 1 0.7 0 0.7 0 0.3 1.7 1 1.7 0 0 0 616
"Daniss Jenkins" Det G 23.7 7 3.3 22 9.1 2 0 3 0.667 7 0.143 0.35 0.322 1 0.3 0.4 0 0 0.1 1.3 1.4 1.7 6 0 0 617
"Yuri Collins" Gol G 24.1 2 8.2 7.8 0 0 0 3 0.333 0 0 0.333 0.333 1 1.5 2 1 0 0 2.5 3 4.5 7 139 79.2 618
"Luke Travers" Cle F 23.6 12 7.3 13.9 28.1 2 1 11 0.455 9 0 0.25 0.287 1 1.7 0.7 0.1 0.1 0.7 2.7 1.7 3.3 5.8 75.4 110.1 621
"Bryce McGowens" Por G 22.4 13 2.5 26.8 21.8 6 0.833 10 0.4 4 0 0.286 0.391 1 0.2 0.2 0.1 0 0.3 1.2 1.2 1.4 5.5 0 0 623
"Xavier Tillman" Bos F 26.3 33 7 13.1 20.8 4 0.75 21 0.381 32 0.156 0.292 0.31 1 1.3 0.2 0.3 0.2 0.4 2.3 1.2 2.5 3.6 67.3 104.9 624
"Anton Watson" Nyk F 24.5 9 2.5 21.5 18.2 0 0 8 0.5 1 0 0.444 0.444 0.9 0.3 0.2 0.1 0 0.2 1.2 1.1 1.4 6 0 0 626
"Isaiah Crawford" Sac F 23.5 15 3 13 8.2 4 0.5 6 0.667 5 0.2 0.5 0.509 0.9 0.5 0.1 0.1 0.1 0.1 1.4 0.9 1.5 4.7 0 0 627
"Justin Minaya" Por F 26.1 19 5.3 11.1 19.2 2 0 11 0.545 10 0.2 0.429 0.411 0.9 0.5 0.4 0.3 0.1 0.3 1.5 1.3 1.8 4.3 88.5 107.5 628
"Harrison Ingram" San F 22.4 5 6.9 6.2 20 0 0 3 0.667 1 0 0.5 0.5 0.8 1.8 0.6 0.6 0 0.2 2.6 1.4 3.2 5.5 116.6 109.9 629
"D.J. Carton" Tor G 24.7 4 8.4 14.3 35 1 1 4 0.25 3 0 0.143 0.202 0.8 1 0.8 0.5 0 1 1.8 1.5 2.5 4.1 42.6 115.3 630
"PJ Dozier" Min G-F 28.5 9 3.9 8.2 24.5 6 0.167 0 0 3 0.667 1 0.621 0.8 0.6 0.6 0.1 0 0.1 1.3 1.3 1.9 6.8 0 0 631
"Joe Ingles" Min F-G 37.5 19 6 12.1 28.1 0 0 8 0.375 15 0.2 0.326 0.326 0.8 0.6 1.2 0.1 0 0.5 1.4 2 2.6 5.5 86 106.5 632
"Ulrich Chomche" Tor C 19.3 7 4.6 10.2 27.7 2 0.5 5 0.4 0 0 0.4 0.425 0.7 1.1 0.3 0 0.1 0.3 1.9 1 2.1 5.3 95.2 104.4 633
"Liam Robbins" Mil C 25.8 13 4.4 14.2 42.2 10 0.5 6 0.333 2 0 0.25 0.363 0.7 0.9 0.2 0.2 0.2 0.5 1.6 0.8 1.8 4.6 79.3 100.7 634
"Stanley Umude" Mil G 26 22 3.9 15.7 10.3 4 0.5 11 0.182 15 0.2 0.25 0.27 0.7 0.8 0.2 0.1 0.3 0.1 1.5 0.9 1.6 4.9 0 0 635
"James Johnson" Ind F 38.1 12 3.1 18.2 26.7 1 0 8 0.5 3 0 0.364 0.35 0.7 0.5 0.3 0 0.2 0.3 1.2 1 1.5 6.1 0 0 636
"Cui Yongxi" Bro F 21.9 5 2.1 33.4 0 2 0.5 4 0.25 3 0 0.143 0.19 0.6 0.4 0 0 0 0 1 0.6 1 0 0 0 637
"Malevy Leons" Okc F 25.6 6 3.5 9.6 31.1 4 0.5 1 0 1 0 0 0.266 0.3 0.5 0.2 0 0 0.2 0.8 0.5 1 3.6 0 0 641
"Daishen Nix" Min G 23.2 3 4.4 19.3 76.6 2 0.5 0 0 1 0 0 0.266 0.3 1.3 1 0 0 1.3 1.7 1.3 2.7 6.6 44.1 103.8 642
"Terence Davis" Sac G 27.9 1 7.9 10.9 0 0 0 1 0 1 0 0 0 0 1 1 0 0 0 1 1 2 0 34 122.8 643
"Isaiah Stevens" Mia G 24.4 3 1.9 15.9 0 0 0 1 0 1 0 0 0 0 0.7 0 0.3 0 0 0.7 0 0.7 0 0 0 644
"Terry Taylor" Sac F 25.6 3 2.1 6.8 0 0 0 1 0 0 0 0 0 0 0.3 0.7 0 0 0 0.3 0.7 1 0 0 0 645
"Jesse Edwards" Min C 25.1 2 2.4 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0.5 0.5 0 0 0 647
"Riley Minix" San F 24.6 1 6.8 6.3 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 2 0 2 0 0 118.1 648
"Zyon Pullin" Mem G 24.1 3 0.9 15.5 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 649
"Mac McClung" Orl G 26.3 2 5.1 8.6 0 0 0 1 0 1 0 0 0 0 0.5 1.5 0 0 0 0.5 1.5 2 0 75.4 95.5 652
"Jalen McDaniels" Was F 27.2 4 1.9 0 0 0 0 0 0 0 0 0 0 0 0 0.3 0.3 0 0 0 0.3 0.3 0 0 0 653
"Jahlil Okafor" Ind C-F 29.3 1 3.4 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 1 2 0 0 0 654
