NAME	POS	EST. RETURN DATE	STATUS	COMMENT
Jakob Poeltl	C	Oct 1	Out	Apr 12: Poeltl (hand) has been ruled out for Sunday's game against San Antonio, Blake Murphy of Sportsnet.ca reports.
Brandon Ingram	SF	Oct 1	Out	Apr 9: The Raptors officially shut down Ingram for the rest of the season Wednesday after he got a PRP injection in his left ankle, Michael Grange of Sportsnet.ca reports.
Gradey Dick	G	Oct 1	Out	Apr 4: Dick (knee) is out for the remainder of the 2024-25 regular season, Ryan Wolstat of the Toronto Sun reports.
Elijah Harkless	G	Jul 1	Out	Apr 12: Harkless (groin) is out for Sunday's game against the Timberwolves.
KJ Martin	F	Oct 1	Out	Apr 12: Martin (illness) is out for Sunday's game against the Timberwolves.
John Collins	PF	Oct 1	Out	Apr 12: Collins (ankle) is out for Sunday's game against the Timberwolves.
Lauri Markkanen	PF	Oct 1	Out	Apr 12: Markkanen (knee) has been ruled out for Sunday's game against the Timberwolves.
Isaiah Collier	G	Oct 1	Out	Apr 12: Collier (hamstring) is out for Sunday's game against the Timberwolves.
Walker Kessler	C	Oct 1	Out	Apr 12: Kessler (concussion) has been ruled out for Sunday's game against the Timberwolves.
Cody Williams	F	Oct 1	Out	Apr 2: The Jazz announced Wednesday that Williams tested positive for mononucleosis, ruling him out for the remainder of the season, Ben Anderson of KSL News Salt Lake City reports.
Jordan Clarkson	PG	Oct 1	Out	Mar 27: Clarkson will miss the rest of the season for the Jazz after having a procedure to address the plantar fasciitis in his left foot, Mark Medina of TheSportingTribune.comreports.
Taylor Hendricks	F	Oct 1	Out	Nov 6: Hendricks underwent surgery on his broken right leg and dislocated ankle Wednesday, Andy Larsen of The Salt Lake Tribune reports.
JT Thor	F	Oct 1	Out	Apr 13: Thor (knee) has been ruled out for Sunday's game against the Heat.
Saddiq Bey	SF	Oct 1	Out	Apr 12: Bey (knee) won't play in Sunday's game versus the Heat.
Malcolm Brogdon	PG	Oct 1	Out	Apr 12: Brogdon (ankle) has been ruled out for Sunday's game against the Heat.
Richaun Holmes	F	Oct 1	Out	Apr 12: Holmes (shoulder) has been ruled out for Sunday's game against Miami.
Jordan Poole	SG	Oct 1	Out	Apr 12: Poole (elbow) has been ruled out for Sunday's game against the Heat.
Anthony Gill	PF	Oct 1	Out	Apr 12: Gill (hamstring) has been ruled out for Sunday's game against Miami.
Khris Middleton	SF	Oct 1	Out	Apr 11: Head coach Brian Keefe said Friday that Middleton (knee) is unlikely to return this season, Varun Shankar of The Washington Post reports.
Corey Kispert	SF	Oct 1	Out	Mar 18: Kispert underwent successful surgery on his left thumb Tuesday and is expected to make a full recovery and be ready for the start of next season.
Bilal Coulibaly	SG	Oct 1	Out	Mar 13: The Wizards announced Thursday that Coulibaly will be out approximately 4-6 weeks with a right hamstring injury, Michael Scotto of USA Today reports.
