Player,Team,COLLEGE,COUNTRY,DRAFT.YEAR,DRAFT.ROUND,DRAFT.NUMBER,GP,PTS,REB,AST,NETRTG,W,L,Min,FGM,FGA,X3PM,X3PA,FTM,FTA,OREB,DREB,TOV,STL,BLK,PF,DD2,TD3,X...,Dist..Miles.Off,Dist..Miles.Def,Avg.Speed.Off,Avg.Speed.Def,Deflections,Loose.Balls.Recovered,Charges.Drawn,Contested.2PT.Shots,Contested.3PT.Shots,Travel,DOUBLE.DRIBBLE,DISC..DRIBBLE,OFF..3.SEC,INBOUND,BACK..COURT,OFF...GLTND,PALMING,OFF..FOUL,DEF...3.SEC,CHARGE,KICKED.BALL,blessure,age_cat,height_cat,weight_cat
Dalano Banton,POR,Nebraska,Canada,2021,2,46,67,8.3,2,2.4,-1.5,28,39,16.7,3,7.6,1.1,3.3,1.4,1.9,0.4,1.6,1.3,0.6,0.5,0.9,0,0,-0.8,0.68,0.61,4.63,4,1.4,0.2,0.02,1.6,1.2,3,1,0,0,0,2,0,1,4,1,1,4,Non blessé,joueur mature,grand,léger
Dalen Terry,CHI,Arizona,USA,2022,1,18,73,4.5,1.7,1.3,-7.6,33,40,13.5,1.6,3.7,0.5,1.4,0.7,0.9,0.5,1.2,0.7,0.6,0.2,1.6,0,0,-2.4,0.6,0.54,5.21,4.32,1.4,0.4,0.01,1.5,1.1,4,0,0,0,0,0,0,0,2,0,0,2,Non blessé,jeune joueur,moyen,léger
Dalton Knecht,LAL,Tennessee,USA,2024,1,17,78,9.1,2.8,0.8,-2.8,47,31,19.2,3.3,7.1,1.6,4.4,0.8,1.1,0.5,2.3,0.5,0.3,0.1,1.2,0,0,-0.9,0.79,0.66,4.52,3.94,0.5,0.3,0,1.3,1.4,1,0,0,0,0,0,0,1,7,0,2,0,Non blessé,joueur mature,moyen,moyen
Damian Lillard,MIL,Weber State,USA,2012,1,6,58,24.9,4.7,7.1,0.7,32,26,36.1,7.7,17.1,3.4,9,6.2,6.8,0.5,4.2,2.8,1.2,0.2,1.7,14,2,0.9,1.46,1.16,4.56,3.63,3,0.5,0.03,0.8,1.9,3,0,0,0,0,1,0,0,1,0,0,0,blessure bas,joueur vétéran,petit,léger
Damion Baugh,CHA,TCU,USA,Undrafted,Undrafted,Undrafted,15,7.3,3.3,3.7,-22.3,1,14,24.7,2.8,8.7,0.8,3.7,0.9,1,0.9,2.4,2.1,1,0.1,1.5,0,0,-11.3,1,0.93,4.46,4.23,2.4,0.4,0,1.7,1.9,2,0,0,0,0,0,0,0,1,0,0,0,Non blessé,joueur mature,moyen,léger
Damion Lee,PHX,Drexel,USA,Undrafted,Undrafted,Undrafted,25,3.3,0.8,0.4,6,6,19,5.8,1.1,3,0.4,1.5,0.8,0.8,0.1,0.7,0.4,0.2,0,0.2,0,0,1,0.26,0.2,4.93,3.96,0.4,0.1,0,0.1,0.8,0,0,0,0,0,0,0,0,1,0,0,0,Non blessé,joueur vétéran,moyen,moyen
Daniel Gafford,DAL,Arkansas,USA,2019,2,38,57,12.3,6.8,1.4,1.5,28,29,21.5,5,7.1,0,0,2.4,3.4,2.7,4.1,1.2,0.4,1.8,2.7,8,0,0.6,0.86,0.8,4.52,4.18,1.4,0.6,0.02,6.3,2,4,0,0,2,1,0,1,0,18,3,8,3,Non blessé,joueur expérimenté,grand,lourd
Daniel Theis,NOP,None,Germany,Undrafted,Undrafted,Undrafted,38,4.3,4.3,1.6,-5.9,10,28,16.3,1.6,3.4,0.2,1,0.8,1,1.2,3.2,0.7,0.5,0.5,1.8,1,0,-1.6,0.64,0.57,4.28,3.97,1.4,0.5,0.08,2.3,1.1,0,0,0,1,0,0,0,0,5,0,0,11,Non blessé,joueur vétéran,grand,lourd
Daniss Jenkins,DET,St. John's,USA,Undrafted,Undrafted,Undrafted,7,1,0.3,0.4,-5.8,3,4,3.2,0.4,1.4,0.1,1,0,0.3,0,0.3,0.1,0,0,0.3,0,0,-1.3,0.12,0.12,4.29,4.08,0.3,0,0,0.3,0.7,0,0,0,0,0,0,0,0,0,0,0,0,Non blessé,joueur mature,petit,léger
Danté Exum,DAL,None,Australia,2014,1,5,20,8.7,1.7,2.8,-6,7,13,18.6,3.2,6.7,1.2,2.7,1.2,1.6,0.2,1.5,1.1,0.6,0.2,1.7,0,0,-2.4,0.81,0.63,4.78,3.97,0.7,0.3,0.1,1.3,1.1,1,0,0,0,0,0,0,0,3,0,2,0,Non blessé,joueur expérimenté,moyen,moyen
DaQuan Jeffries,CHA,Tulsa,USA,Undrafted,Undrafted,Undrafted,47,6.7,2.9,1.1,-11.6,9,38,22.8,2.5,6.2,1.2,3.5,0.5,0.6,0.8,2.1,0.7,0.6,0.5,2.1,0,0,-5.9,0.92,0.81,4.48,4.06,1.4,0.4,0,2,2.2,3,0,0,0,0,0,0,0,1,0,0,0,Non blessé,joueur expérimenté,moyen,moyen
Dario Šarić,DEN,None,Croatia,2014,1,12,16,3.5,3.1,1.4,-11.5,7,9,13.1,1.3,3.6,0.4,1.6,0.4,0.6,0.9,2.3,0.9,0.4,0.1,1.2,1,0,-3.1,0.45,0.44,4.16,4.01,0.9,0.5,0,3.1,0.9,1,0,0,0,0,0,0,0,1,0,0,1,Non blessé,joueur vétéran,grand,moyen
Dariq Whitehead,BKN,Duke,USA,2023,1,22,20,5.7,1.5,0.6,-11.1,6,14,12.3,2,4.8,1.7,3.7,0.2,0.3,0.2,1.3,0.8,0.3,0.1,1.1,0,0,-3.2,0.47,0.44,4.28,3.98,0.6,0.1,0,0.6,1.4,1,0,0,0,0,0,0,0,1,0,1,0,Non blessé,jeune joueur,moyen,moyen
Darius Garland,CLE,Vanderbilt,USA,2019,1,5,75,20.6,2.9,6.7,9.9,60,15,30.7,7.4,15.7,2.8,7.1,3,3.4,0.6,2.2,2.5,1.2,0.1,1.9,7,0,6.7,1.25,1.07,4.72,3.8,1.9,0.5,0.04,1.2,1.3,10,1,0,0,0,2,0,3,7,1,0,3,blessure bas,joueur mature,petit,léger
David Duke Jr.,SAS,Providence,USA,Undrafted,Undrafted,Undrafted,6,2.7,0.8,0.7,36.6,0,6,5.6,1,2.3,0.5,1,0.2,0.3,0.2,0.7,0.3,0.2,0,0.2,0,0,4.7,0.21,0.22,5.06,3.66,0.3,0.8,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,Non blessé,joueur mature,moyen,léger
David Roddy,HOU,Colorado State,USA,2022,1,23,33,4.6,2.5,1.1,-8.2,9,24,12.4,1.7,3.8,0.6,1.8,0.6,0.8,0.4,2.2,0.7,0.4,0.3,0.6,0,0,-2.3,0.53,0.46,4.94,4.01,0.7,0.2,0,1.5,1.1,1,0,0,0,0,0,0,0,1,0,0,0,Non blessé,joueur mature,moyen,lourd
Davion Mitchell,MIA,Baylor,USA,2021,1,9,74,7.9,2.3,4.9,0.3,25,49,27.4,3,6.4,1.1,2.9,0.8,1.1,0.5,1.8,1.7,1,0.2,2.5,1,0,0,1.08,1.02,4.46,4.13,1.9,0.5,0.14,0.8,1.6,1,0,0,0,0,4,0,0,7,0,3,1,Non blessé,joueur expérimenté,petit,léger
Day'Ron Sharpe,BKN,North Carolina,USA,2021,1,29,50,7.9,6.6,1.8,2.1,14,36,18.1,3.3,6.3,0.2,0.9,1.1,1.5,3,3.6,1.3,0.8,0.8,2.3,4,0,1.3,0.75,0.65,4.53,4.05,1.5,0.4,0.02,3,1.3,0,0,0,5,0,0,2,0,19,1,0,0,blessure bas,joueur mature,grand,lourd
De'Aaron Fox,SAS,Kentucky,USA,2017,1,5,62,23.5,4.8,6.3,-1.2,27,35,36.1,8.7,18.8,1.9,6.1,4.2,5.1,0.9,3.9,2.8,1.5,0.4,2.6,9,0,-1.1,1.48,1.27,4.75,3.78,3.1,0.7,0.02,1.5,3,7,0,2,0,0,0,0,0,8,0,4,6,blessure haut,joueur expérimenté,petit,léger
De'Andre Hunter,CLE,Virginia,USA,2019,1,4,64,17,4,1.4,2,38,26,27.2,5.6,11.9,2.5,6.1,3.4,4,0.7,3.3,1.3,0.8,0.2,2.4,2,0,1.4,1.09,0.94,4.68,3.66,1.3,0.5,0,1.6,2.3,3,0,0,0,0,1,1,0,6,0,1,1,Non blessé,joueur expérimenté,grand,moyen
De'Anthony Melton,BKN,Southern California,USA,2018,2,46,6,10.3,3.3,2.8,10.9,4,2,20.2,3.7,9,2.2,5.8,0.8,1.3,1,2.3,1.7,1.2,0.3,3,1,0,4.5,0.88,0.74,5.05,3.92,2.5,0.5,0,0.5,0.7,0,0,0,0,0,0,0,0,1,0,0,0,Non blessé,joueur expérimenté,petit,léger
Dean Wade,CLE,Kansas State,USA,Undrafted,Undrafted,Undrafted,59,5.4,4.2,1.3,10.7,47,12,21.2,1.9,4.6,1.4,3.8,0.3,0.5,0.9,3.4,0.4,0.7,0.3,1.7,1,0,4.8,0.88,0.79,4.89,4.04,1.8,0.4,0,3.2,1.1,2,0,0,0,0,0,0,0,5,0,1,3,Non blessé,joueur expérimenté,grand,moyen
Deandre Ayton,POR,Arizona,Bahamas,2018,1,1,40,14.4,10.2,1.6,-6.9,17,23,30.1,6.6,11.7,0.2,0.8,1,1.5,3.1,7.1,1.7,0.8,1,2.2,20,0,-4.1,1.09,0.97,4.08,3.63,1.4,0.4,0,5.2,2.6,4,1,0,2,0,1,3,0,10,3,0,1,blessure bas,joueur expérimenté,grand,lourd
DeAndre Jordan,DEN,Texas A&M,USA,2008,2,35,56,3.7,5.1,0.9,-3.3,37,19,12.3,1.6,2.5,0,0,0.5,1.1,1.5,3.6,0.7,0.3,0.5,1.3,3,0,-0.8,0.41,0.36,3.75,3.5,0.5,0.2,0,1.8,0.6,1,0,0,0,0,0,3,0,10,0,0,0,Non blessé,joueur vétéran,grand,lourd
Dejounte Murray,NOP,Washington,USA,2016,1,29,31,17.5,6.5,7.4,-9.1,9,22,32.6,6.3,15.9,1.7,5.6,3.3,4,0.5,5.9,3.4,2,0.4,2,8,1,-6.7,1.38,1.17,4.73,4,3.5,0.5,0,1.6,1.8,3,0,0,0,0,2,0,0,3,0,1,1,blessure bas,joueur expérimenté,moyen,léger
Delon Wright,NYK,Utah,USA,2015,1,20,40,3.1,1.7,1.9,-0.2,22,18,15.9,1.1,3.3,0.5,1.8,0.4,0.6,0.7,1,0.6,0.9,0.3,0.6,0,0,0,0.67,0.56,4.55,4.1,1.8,0.3,0.03,0.9,0.8,0,0,0,0,0,0,0,0,2,0,1,0,Non blessé,joueur vétéran,moyen,léger
DeMar DeRozan,SAC,Southern California,USA,2009,1,9,77,22.2,3.9,4.4,1.5,38,39,35.9,8.1,17,1.1,3.3,4.9,5.7,0.6,3.2,1.4,0.8,0.4,1.9,3,0,1.4,1.39,1.16,4.33,3.62,1.7,0.4,0.05,1.5,1.9,5,0,0,0,0,0,0,0,8,1,2,2,Non blessé,joueur vétéran,moyen,moyen
Deni Avdija,POR,None,Israel,2020,1,9,72,16.9,7.3,3.9,-0.9,33,39,30,5.6,11.7,1.7,4.8,4,5.2,1.5,5.7,2.7,1,0.5,2.4,17,2,-1.1,1.2,1.05,4.5,3.9,1.7,0.6,0,3.4,2,11,0,0,0,0,1,0,0,13,2,7,5,blessure haut,joueur mature,grand,lourd
Dennis Schröder,DET,None,Germany,2013,1,17,75,13.1,2.6,5.4,-0.9,37,38,28.1,4.5,11,1.7,4.9,2.4,2.9,0.4,2.3,1.9,0.9,0.2,2.4,7,0,-1,1.19,1.01,4.64,4.07,1.8,0.7,0.11,1.4,1.4,3,0,0,0,0,1,0,1,13,0,3,4,Non blessé,joueur vétéran,petit,léger
Dereck Lively II,DAL,Duke,USA,2023,1,12,36,8.7,7.5,2.4,7.7,21,15,23.1,3.7,5.3,0,0,1.3,2,2.9,4.6,1.1,0.6,1.6,2.8,8,0,3.4,0.93,0.86,4.59,4.15,1.5,0.4,0,7.1,2.1,3,0,0,1,0,0,0,0,9,4,0,3,Non blessé,jeune joueur,grand,moyen
Derrick Jones Jr.,LAC,UNLV,USA,Undrafted,Undrafted,Undrafted,77,10.1,3.4,0.8,6.7,48,29,24.3,4,7.6,1,2.8,1.1,1.5,1.2,2.2,0.9,1,0.4,2,0,0,3.2,0.97,0.88,4.41,4.13,1.8,0.6,0,1.7,1.4,3,0,0,0,0,1,2,0,8,0,1,4,Non blessé,joueur expérimenté,moyen,moyen
Derrick White,BOS,Colorado,USA,2017,1,29,76,16.4,4.5,4.8,10.2,58,18,33.9,5.6,12.6,3.5,9.1,1.8,2.1,0.9,3.6,1.7,0.9,1.1,1.8,4,0,7.1,1.31,1.11,4.22,3.79,2.1,0.8,0.12,4.1,2.8,5,0,0,0,0,1,0,0,3,1,1,1,Non blessé,joueur expérimenté,moyen,léger
Desmond Bane,MEM,TCU,USA,2020,1,30,69,19.2,6.1,5.3,2.8,38,31,32,7.1,14.8,2.4,6.1,2.6,2.9,0.9,5.2,2.4,1.2,0.4,2.4,10,1,2.1,1.35,1.16,4.97,3.97,1.8,0.7,0,2.1,1.9,16,0,0,0,0,1,0,0,19,1,3,1,Non blessé,joueur expérimenté,moyen,moyen
