Player,Team,COLLEGE,COUNTRY,DRAFT.YEAR,DRAFT.ROUND,DRAFT.NUMBER,GP,PTS,REB,AST,NETRTG,W,L,Min,FGM,FGA,X3PM,X3PA,FTM,FTA,OREB,DREB,TOV,STL,BLK,PF,DD2,TD3,X...,Dist..Miles.Off,Dist..Miles.Def,Avg.Speed.Off,Avg.Speed.Def,Deflections,Loose.Balls.Recovered,Charges.Drawn,Contested.2PT.Shots,Contested.3PT.Shots,Travel,DOUBLE.DRIBBLE,DISC..DRIBBLE,OFF..3.SEC,INBOUND,BACK..COURT,OFF...GLTND,PALMING,OFF..FOUL,DEF...3.SEC,CHARGE,KICKED.BALL,blessure,age_cat,height_cat,weight_cat
Drew Timme,BKN,Gonzaga,USA,Undrafted,Undrafted,Undrafted,9,12.1,7.2,2.2,-12.6,3,6,28.2,5,11.3,1,3.9,1.1,1.8,1.9,5.3,1.7,0.4,0.1,2.3,3,0,-7.3,1.18,1.03,4.61,4.14,1,0.3,0.22,3.4,2.4,0,0,0,0,0,0,0,0,4,1,0,1,Non blessé,joueur mature,grand,lourd
Dru Smith,MIA,Missouri,USA,Undrafted,Undrafted,Undrafted,14,6.2,2.6,1.6,6.8,8,6,19.2,2.2,4.4,1.1,2.1,0.6,0.9,0.9,1.7,1.2,1.5,0.4,2.1,0,0,2.7,0.78,0.73,4.55,4.2,3.3,0.7,0.29,1.7,1.4,0,0,1,0,0,0,0,0,1,0,1,0,blessure bas,joueur expérimenté,petit,léger
Duncan Robinson,MIA,Michigan,USA,Undrafted,Undrafted,Undrafted,74,11,2.3,2.4,0.2,30,44,24.1,3.9,9,2.6,6.5,0.6,0.7,0.2,2,1.2,0.5,0.1,1.8,0,0,0.9,1.06,0.84,4.9,3.9,1.4,0.3,0.11,1.5,1.3,5,0,0,0,0,0,0,0,6,0,0,3,Non blessé,joueur vétéran,moyen,moyen
Duop Reath,POR,Louisiana State,South Sudan,Undrafted,Undrafted,Undrafted,46,4.2,2,0.6,-6.5,19,27,10.2,1.5,3.6,0.7,2.3,0.4,0.5,1,1,0.3,0.3,0.3,0.9,0,0,-1.2,0.4,0.38,4.4,4.08,0.5,0.2,0,3,1.1,0,0,0,0,0,0,1,0,2,1,1,1,Non blessé,joueur expérimenté,grand,lourd
Dwight Powell,DAL,Stanford,Canada,2014,2,45,55,2.1,2.1,1,-1.1,25,30,10,0.8,1.1,0,0.1,0.5,0.8,0.9,1.3,0.3,0.3,0.4,1.4,0,0,-0.3,0.41,0.39,4.68,4.25,0.9,0.2,0.06,3,1.1,0,0,0,0,0,0,0,0,8,0,1,1,Non blessé,joueur vétéran,grand,lourd
Dyson Daniels,ATL,None,Australia,2022,1,8,76,14.1,5.9,4.4,-0.9,37,39,33.8,6,12.1,1.1,3.1,1.1,1.8,1.6,4.3,2,3,0.7,2.3,9,0,-0.9,1.42,1.29,4.95,4.07,5.8,1.1,0,3.2,2.9,5,0,0,0,0,3,1,0,9,0,4,5,Non blessé,jeune joueur,moyen,léger
E.J. Liddell,CHI,Ohio State,USA,2022,2,41,12,1.8,0.8,0.3,-8.6,6,6,4.4,0.7,1.3,0.3,0.8,0.2,0.2,0.3,0.5,0.2,0.1,0.1,0.9,0,0,-0.7,0.19,0.16,5,3.62,0.3,0.1,0,1.3,0.4,0,0,0,0,0,0,0,0,1,0,0,0,Non blessé,joueur mature,moyen,lourd
Elfrid Payton,NOP,Louisana-Lafayette,USA,2014,1,10,24,3.5,3.3,6.9,-13.4,3,21,21.3,1.7,5.1,0,0.3,0.2,0.3,0.6,2.7,2.5,1,0.5,1.5,2,0,-6.2,0.84,0.76,4.49,4.01,1.8,0.1,0,1.2,0.7,1,0,0,0,0,0,0,0,1,0,0,0,Non blessé,joueur vétéran,petit,léger
Elijah Harkless,UTA,UNLV,USA,Undrafted,Undrafted,Undrafted,10,3.2,2.1,0.8,9.7,1,9,13.8,1.1,3.5,0.7,2.5,0.3,0.6,0.9,1.2,0.3,1,0.1,1.8,0,0,3.1,0.53,0.51,4.13,4.22,2,0.5,0.13,1.1,1.3,1,0,0,0,0,0,0,0,1,0,0,0,blessure bas,joueur mature,petit,léger
Emanuel Miller,CHI,TCU,Canada,Undrafted,Undrafted,Undrafted,6,1.7,1.3,0.3,-10,4,2,4.1,0.7,1.3,0,0.2,0.3,0.3,0.7,0.7,0,0.2,0,0.5,0,0,-1.3,0.16,0.16,4.81,4.08,0.3,0,0,0.3,0.7,0,0,0,0,0,0,0,0,0,0,0,0,Non blessé,joueur mature,moyen,moyen
Emoni Bates,CLE,Eastern Michigan,USA,2023,2,49,10,3.7,0.7,0.8,-21.5,9,1,7.5,1.3,3.8,1.1,3,0,0,0,0.7,0.2,0.1,0.1,0.4,0,0,-3.4,0.33,0.25,4.37,4.09,0.3,0.2,0,1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,Non blessé,jeune joueur,grand,léger
Enrique Freeman,IND,Akron,USA,2024,2,50,22,2.1,1.4,0.4,-6.3,7,15,8.2,0.7,1.7,0,0.5,0.6,0.9,0.5,0.9,0.3,0.1,0.1,1,0,0,-0.9,0.37,0.34,4.89,4.4,0.4,0.1,0,1.5,1.1,0,0,0,0,0,0,0,0,1,1,0,0,Non blessé,joueur mature,moyen,moyen
Eric Gordon,PHI,Indiana,USA,2008,1,7,39,6.8,1.2,1.7,-5.4,12,27,19.7,2.2,5.2,1.4,3.5,0.9,1.2,0.2,1,0.7,0.7,0.3,0.8,0,0,-1.8,0.74,0.61,4.01,3.54,1.4,0.3,0,0.7,1,2,0,0,0,0,0,0,0,2,0,2,1,blessure haut,joueur vétéran,petit,moyen
Evan Mobley,CLE,Southern California,USA,2021,1,3,71,18.5,9.3,3.2,11.9,58,13,30.5,7.1,12.8,1.2,3.2,3.1,4.3,2.3,7,2,0.9,1.6,2,37,0,7.7,1.21,1.09,4.7,3.8,1.7,0.8,0,7.2,3.2,20,0,0,1,0,0,2,0,14,4,5,4,Non blessé,joueur mature,grand,moyen
Franz Wagner,ORL,Michigan,Germany,2021,1,8,60,24.2,5.7,4.7,6,33,27,33.7,9,19.4,1.7,5.9,4.5,5.2,0.9,4.8,2.3,1.3,0.4,2.5,3,0,4.1,1.5,1.18,4.84,4.01,2.2,0.6,0.08,2.4,1.9,10,0,0,0,0,1,1,2,7,0,4,10,Non blessé,joueur mature,grand,moyen
