Player Team Age Height Weight COLLEGE COUNTRY "DRAFT YEAR" "DRAFT ROUND" "DRAFT NUMBER" GP PTS REB AST NETRTG OREB% DREB% USG% TS% AST% W L Min PTS FGM FGA FG% 3PM 3PA 3P% FTM FTA FT% OREB DREB REB AST TOV STL BLK PF FP DD2 TD3 +/- Dist. Feet Dist. Miles Dist. Miles Off Dist. Miles Def Avg Speed Avg Speed Off Avg Speed Def "Screen Assists" "Screen Assists PTS" Deflections "OFF Loose Balls Recovered" "DEF Loose Balls Recovered" "Loose Balls Recovered" "% Loose Balls Recovered OFF" "% Loose Balls Recovered DEF" "Charges Drawn" "Contested 2PT Shots" "Contested 3PT Shots" "Contested Shots" Travel "DOUBLE DRIBBLE" "DISC. DRIBBLE" "OFF. 3 SEC" INBOUND "BACK- COURT" "OFF.  GLTND" PALMING "OFF. FOUL" "DEF.  3 SEC" CHARGE "DEF.  GLTND" LANE "JUMP BALL" "KICKED BALL"
"Anthony Gill" WAS 32 6-8 230 Virginia USA Undrafted Undrafted Undrafted 51.0 2.5 1.3 0.3 -7.8 4.2 11.1 12.4 58.6 5.9 7 44 7.8 2.5 0.8 1.7 48.9 0.2 0.6 32.3 0.6 1.0 66.0 0.4 0.9 1.3 0.3 0.2 0.2 0.0 0.6 5.0 0.0 0.0 -1.4 3218.9 0.61 0.32 0.29 4.31 4.54 4.08 0.2 0.4 0.5 0.2 0.1 0.3 63.6 36.4 0.00 1.0 1.1 2.1 0 0 0 0 0 0 0 0 2 0 0 1 0 0 1
"Anton Watson" NYK 24 6-8 225 Gonzaga USA 2024 2 54 9.0 0.9 0.3 0.2 -15.3 5.0 11.8 19.3 44.4 12.5 5 4 2.5 0.9 0.4 1.0 44.4 0.0 0.1 0.0 0.0 0.0 0.0 0.1 0.2 0.3 0.2 0.2 0.1 0.0 0.3 1.7 0.0 0.0 -1.0 1032.6 0.20 0.11 0.09 4.32 4.78 3.85 1.2 3.0 0.2 0.0 0.0 0.0 0.0 0.0 0.00 0.6 0.2 0.8 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"Antonio Reeves" NOP 22 6-5 205 Kentucky USA 2024 2 47 44.0 6.9 1.4 0.9 -10.2 2.6 7.0 18.3 57.9 8.9 6 38 15.0 6.9 2.6 5.6 45.6 1.2 2.9 39.5 0.6 0.8 80.0 0.4 1.0 1.4 0.9 0.7 0.5 0.1 0.9 11.0 0.0 0.0 -3.4 6189.9 1.17 0.63 0.54 4.37 4.64 4.09 0.0 0.1 0.9 0.2 0.2 0.4 54.5 45.5 0.00 0.6 1.3 1.9 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0
"Ariel Hukporti" NYK 23 6-11 246 None Germany 2024 2 58 25.0 1.9 2.0 0.4 -12.4 6.6 15.1 11.3 65.4 7.5 17 8 8.7 1.9 0.8 1.2 67.7 0.0 0.0 0.0 0.2 0.5 46.2 0.6 1.5 2.0 0.4 0.8 0.0 0.6 1.3 6.1 0.0 0.0 -2.5 3646.0 0.69 0.36 0.33 4.42 4.56 4.27 1.4 3.1 0.5 0.2 0.1 0.3 57.1 42.9 0.00 2.9 1.1 4.0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 3
"Armel Traoré" LAL 22 6-9 245 None France Undrafted Undrafted Undrafted 9.0 1.6 1.7 0.1 -37.3 2.6 22.8 15.3 31.7 2.6 5 4 7.4 1.6 0.7 2.1 31.6 0.0 0.8 0.0 0.2 0.8 28.6 0.2 1.4 1.7 0.1 0.3 0.4 0.2 0.7 5.4 0.0 0.0 -5.4 3331.1 0.63 0.34 0.29 4.78 5.05 4.48 0.0 0.0 1.3 0.0 0.0 0.0 0.0 0.0 0.00 0.7 0.6 1.3 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0
"Ausar Thompson" DET 22 6-6 205 None USA 2023 1 5 59.0 10.1 5.1 2.3 4.0 8.1 13.9 18.5 56.8 13.9 34 25 22.5 10.1 4.2 7.8 53.5 0.2 0.8 22.4 1.5 2.4 64.1 1.9 3.3 5.1 2.3 1.4 1.7 0.7 2.8 25.3 3.0 0.0 1.1 9328.9 1.77 0.90 0.86 4.41 4.62 4.21 0.7 1.6 3.6 0.4 0.4 0.8 44.7 55.3 0.02 1.9 1.9 3.8 1 0 0 0 0 1 0 0 8 0 4 2 0 0 0
"Austin Reaves" LAL 26 6-5 197 Oklahoma USA Undrafted Undrafted Undrafted 73.0 20.2 4.5 5.8 3.8 2.5 10.1 23.0 61.6 24.1 46 27 34.9 20.2 6.5 14.2 46.0 2.7 7.3 37.7 4.4 5.0 87.7 0.8 3.7 4.5 5.8 2.4 1.1 0.3 2.1 36.1 9.0 1.0 2.7 13575.4 2.57 1.43 1.14 4.13 4.51 3.74 0.7 1.6 1.9 0.4 0.3 0.7 52.0 48.0 0.30 2.5 2.1 4.6 4 1 1 0 0 3 0 0 6 0 3 0 0 0 6
"Ayo Dosunmu" CHI 25 6-5 200 Illinois USA 2021 2 38 46.0 12.3 3.5 4.5 -7.7 1.8 9.0 16.3 58.5 21.0 17 29 30.3 12.3 4.8 9.8 49.2 1.3 4.1 32.8 1.3 1.7 78.5 0.6 2.9 3.5 4.5 1.5 0.9 0.4 2.3 25.8 1.0 1.0 -5.1 12460.6 2.36 1.25 1.11 4.37 4.79 3.97 0.3 0.8 1.5 0.3 0.4 0.7 41.9 58.1 0.00 2.4 1.8 4.2 4 0 0 0 0 2 0 0 2 0 2 3 0 0 2
"Bam Adebayo" MIA 27 6-9 255 Kentucky USA 2017 1 14 78.0 18.1 9.6 4.3 0.1 6.9 21.4 23.2 56.1 20.4 36 42 34.3 18.1 6.9 14.3 48.5 1.0 2.8 35.7 3.2 4.2 76.5 2.4 7.2 9.6 4.3 2.1 1.3 0.7 2.1 39.8 38.0 1.0 0.3 12712.9 2.41 1.27 1.13 3.94 4.12 3.75 3.3 8.2 3.0 0.3 0.3 0.7 50.0 50.0 0.00 4.0 1.7 5.8 8 0 1 1 0 3 3 0 23 3 4 12 0 1 17
"Baylor Scheierman" BOS 24 6-6 205 Creighton USA 2024 1 30 31.0 3.6 2.1 1.1 4.1 4.8 11.7 14.3 49.0 12.0 27 4 12.4 3.6 1.3 3.5 35.5 0.8 2.6 31.7 0.3 0.4 75.0 0.6 1.5 2.1 1.1 0.4 0.5 0.1 0.7 9.2 0.0 0.0 0.9 4846.9 0.92 0.49 0.43 4.15 4.28 4.00 0.1 0.3 1.5 0.1 0.0 0.1 75.0 25.0 0.04 0.8 0.8 1.6 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0
